------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|       7  |      0  |      1.4287  |     0.7129  |   0.6486  |               |              0.5027  |
|          |      1  |      1.3799  |     0.7471  |   0.6693  |               |              0.9100  |
|          |      2  |      1.2129  |     0.8369  |   0.7747  |               |              1.3206  |
|          |      3  |      1.1641  |     0.8613  |   0.8306  |               |              1.6956  |
|          |      4  |      1.1250  |     0.8828  |   0.8616  |               |              2.0708  |
|          |      5  |      1.0967  |     0.9004  |   0.8127  |               |              2.4462  |
|          |      6  |      1.0664  |     0.9111  |   0.8908  |               |              2.8210  |
|          |      7  |      1.0127  |     0.9355  |   0.8993  |               |              3.1967  |
|          |      8  |      0.9814  |     0.9629  |   0.9274  |               |              3.5725  |
|          |      9  |      0.9458  |     0.9766  |   0.9339  |               |              3.9187  |
|          |   eval  |      0.9458  |     0.9766  |   0.9339  |       0.9398  |              4.0863  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.4561  |     0.6904  |   0.6125  |               |              0.4985  |
|          |      1  |      1.3086  |     0.7959  |   0.6534  |               |              0.9067  |
|          |      2  |      1.2158  |     0.8418  |   0.7931  |               |              1.3183  |
|          |      3  |      1.1758  |     0.8486  |   0.8290  |               |              1.6951  |
|          |      4  |      1.1670  |     0.8486  |   0.8316  |               |              2.0720  |
|          |      5  |      1.0908  |     0.9014  |   0.8521  |               |              2.4489  |
|          |      6  |      1.0566  |     0.9111  |   0.8914  |               |              2.8255  |
|          |      7  |      1.0156  |     0.9346  |   0.8930  |               |              3.2019  |
|          |      8  |      0.9766  |     0.9619  |   0.9233  |               |              3.5777  |
|          |      9  |      0.9409  |     0.9785  |   0.9331  |               |              3.9228  |
|          |   eval  |      0.9409  |     0.9785  |   0.9331  |       0.9408  |              4.0925  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.4434  |     0.7090  |   0.6565  |               |              0.4974  |
|          |      1  |      1.2939  |     0.7803  |   0.7658  |               |              0.9057  |
|          |      2  |      1.2139  |     0.8291  |   0.8213  |               |              1.3179  |
|          |      3  |      1.1562  |     0.8574  |   0.8453  |               |              1.6952  |
|          |      4  |      1.1484  |     0.8662  |   0.8511  |               |              2.0722  |
|          |      5  |      1.1016  |     0.8721  |   0.8624  |               |              2.4494  |
|          |      6  |      1.0508  |     0.9160  |   0.8872  |               |              2.8247  |
|          |      7  |      1.0273  |     0.9336  |   0.8990  |               |              3.2013  |
|          |      8  |      0.9893  |     0.9473  |   0.9251  |               |              3.5784  |
|          |      9  |      0.9448  |     0.9785  |   0.9337  |               |              3.9239  |
|          |   eval  |      0.9448  |     0.9785  |   0.9337  |       0.9381  |              4.0918  |
------------------------------------------------------------------------------------------------------
|      10  |      0  |      1.4492  |     0.6875  |   0.6525  |               |              0.4978  |
|          |      1  |      1.3135  |     0.7842  |   0.6080  |               |              0.9062  |
|          |      2  |      1.2100  |     0.8389  |   0.7425  |               |              1.3181  |
|          |      3  |      1.1465  |     0.8750  |   0.8014  |               |              1.6940  |
|          |      4  |      1.1289  |     0.8936  |   0.8779  |               |              2.0719  |
|          |      5  |      1.1006  |     0.8955  |   0.8526  |               |              2.4470  |
|          |      6  |      1.0381  |     0.9277  |   0.8948  |               |              2.8243  |
|          |      7  |      1.0273  |     0.9287  |   0.8957  |               |              3.2008  |
|          |      8  |      0.9922  |     0.9502  |   0.9166  |               |              3.5771  |
|          |      9  |      0.9443  |     0.9746  |   0.9310  |               |              3.9258  |
|          |   eval  |      0.9443  |     0.9746  |   0.9310  |       0.9386  |              4.0935  |
------------------------------------------------------------------------------------------------------
|      11  |      0  |      1.4570  |     0.7021  |   0.6853  |               |              0.5022  |
|          |      1  |      1.2881  |     0.7891  |   0.7334  |               |              0.9119  |
|          |      2  |      1.2178  |     0.8252  |   0.7512  |               |              1.3223  |
|          |      3  |      1.1689  |     0.8477  |   0.8023  |               |              1.7004  |
|          |      4  |      1.1172  |     0.8896  |   0.8372  |               |              2.0792  |
|          |      5  |      1.0977  |     0.8887  |   0.8203  |               |              2.4563  |
|          |      6  |      1.0615  |     0.9072  |   0.8621  |               |              2.8343  |
|          |      7  |      1.0332  |     0.9277  |   0.9041  |               |              3.2105  |
|          |      8  |      0.9780  |     0.9658  |   0.9239  |               |              3.5878  |
|          |      9  |      0.9458  |     0.9766  |   0.9341  |               |              3.9354  |
|          |   eval  |      0.9458  |     0.9766  |   0.9341  |       0.9409  |              4.1037  |
------------------------------------------------------------------------------------------------------
|      12  |      0  |      1.4326  |     0.7031  |   0.6616  |               |              0.5033  |
|          |      1  |      1.2783  |     0.8076  |   0.6983  |               |              0.9110  |
|          |      2  |      1.2256  |     0.8174  |   0.7933  |               |              1.3250  |
|          |      3  |      1.1631  |     0.8623  |   0.8313  |               |              1.7015  |
|          |      4  |      1.1367  |     0.8760  |   0.8667  |               |              2.0797  |
|          |      5  |      1.1084  |     0.8828  |   0.8518  |               |              2.4565  |
|          |      6  |      1.0469  |     0.9180  |   0.8850  |               |              2.8342  |
|          |      7  |      1.0283  |     0.9316  |   0.9039  |               |              3.2112  |
|          |      8  |      0.9707  |     0.9580  |   0.9243  |               |              3.5900  |
|          |      9  |      0.9482  |     0.9775  |   0.9315  |               |              3.9388  |
|          |   eval  |      0.9482  |     0.9775  |   0.9315  |       0.9397  |              4.1075  |
------------------------------------------------------------------------------------------------------
