------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|       7  |      0  |      1.4092  |     0.7344  |   0.6783  |               |              0.4984  |
|          |      1  |      1.2988  |     0.7949  |   0.7500  |               |              0.9058  |
|          |      2  |      1.2012  |     0.8271  |   0.7786  |               |              1.3165  |
|          |      3  |      1.1553  |     0.8555  |   0.7815  |               |              1.6916  |
|          |      4  |      1.1484  |     0.8750  |   0.8365  |               |              2.0704  |
|          |      5  |      1.0996  |     0.8750  |   0.8127  |               |              2.4459  |
|          |      6  |      1.0508  |     0.9189  |   0.8866  |               |              2.8227  |
|          |      7  |      1.0127  |     0.9482  |   0.9021  |               |              3.2004  |
|          |      8  |      0.9712  |     0.9619  |   0.9171  |               |              3.5759  |
|          |      9  |      0.9326  |     0.9814  |   0.9307  |               |              3.9243  |
|          |   eval  |      0.9326  |     0.9814  |   0.9307  |       0.9380  |              4.0923  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.4092  |     0.7197  |   0.6470  |               |              0.5022  |
|          |      1  |      1.2324  |     0.8291  |   0.7747  |               |              0.9098  |
|          |      2  |      1.1895  |     0.8457  |   0.7475  |               |              1.3216  |
|          |      3  |      1.1787  |     0.8477  |   0.7704  |               |              1.6986  |
|          |      4  |      1.1367  |     0.8701  |   0.8226  |               |              2.0765  |
|          |      5  |      1.1084  |     0.8818  |   0.8585  |               |              2.4540  |
|          |      6  |      1.0430  |     0.9248  |   0.8914  |               |              2.8297  |
|          |      7  |      1.0244  |     0.9307  |   0.9075  |               |              3.2080  |
|          |      8  |      0.9702  |     0.9678  |   0.9257  |               |              3.5852  |
|          |      9  |      0.9448  |     0.9727  |   0.9351  |               |              3.9309  |
|          |   eval  |      0.9448  |     0.9727  |   0.9351  |       0.9413  |              4.0999  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.4336  |     0.7100  |   0.6454  |               |              0.5040  |
|          |      1  |      1.2363  |     0.8262  |   0.7873  |               |              0.9130  |
|          |      2  |      1.1836  |     0.8506  |   0.7476  |               |              1.3236  |
|          |      3  |      1.1533  |     0.8652  |   0.8378  |               |              1.7002  |
|          |      4  |      1.1230  |     0.8760  |   0.8223  |               |              2.0782  |
|          |      5  |      1.0869  |     0.9062  |   0.8652  |               |              2.4562  |
|          |      6  |      1.0576  |     0.9092  |   0.8534  |               |              2.8335  |
|          |      7  |      1.0342  |     0.9219  |   0.8991  |               |              3.2114  |
|          |      8  |      0.9702  |     0.9639  |   0.9208  |               |              3.5886  |
|          |      9  |      0.9429  |     0.9717  |   0.9327  |               |              3.9363  |
|          |   eval  |      0.9429  |     0.9717  |   0.9327  |       0.9399  |              4.1044  |
------------------------------------------------------------------------------------------------------
|      10  |      0  |      1.4102  |     0.7285  |   0.6808  |               |              0.5000  |
|          |      1  |      1.2578  |     0.8066  |   0.7394  |               |              0.9106  |
|          |      2  |      1.2197  |     0.8223  |   0.7942  |               |              1.3220  |
|          |      3  |      1.1641  |     0.8467  |   0.8067  |               |              1.6989  |
|          |      4  |      1.1260  |     0.8809  |   0.8384  |               |              2.0773  |
|          |      5  |      1.0811  |     0.9092  |   0.8034  |               |              2.4545  |
|          |      6  |      1.0518  |     0.9160  |   0.8978  |               |              2.8329  |
|          |      7  |      1.0381  |     0.9258  |   0.8993  |               |              3.2118  |
|          |      8  |      0.9785  |     0.9541  |   0.9247  |               |              3.5890  |
|          |      9  |      0.9341  |     0.9834  |   0.9336  |               |              3.9372  |
|          |   eval  |      0.9341  |     0.9834  |   0.9336  |       0.9409  |              4.1065  |
------------------------------------------------------------------------------------------------------
|      11  |      0  |      1.4248  |     0.7178  |   0.6594  |               |              0.5026  |
|          |      1  |      1.2441  |     0.8154  |   0.7720  |               |              0.9120  |
|          |      2  |      1.2119  |     0.8389  |   0.8112  |               |              1.3256  |
|          |      3  |      1.1396  |     0.8730  |   0.7586  |               |              1.7042  |
|          |      4  |      1.1465  |     0.8584  |   0.8233  |               |              2.0851  |
|          |      5  |      1.1084  |     0.8926  |   0.8525  |               |              2.4639  |
|          |      6  |      1.0537  |     0.9189  |   0.8997  |               |              2.8438  |
|          |      7  |      1.0166  |     0.9316  |   0.9073  |               |              3.2221  |
|          |      8  |      0.9766  |     0.9570  |   0.9248  |               |              3.6023  |
|          |      9  |      0.9399  |     0.9795  |   0.9346  |               |              3.9527  |
|          |   eval  |      0.9399  |     0.9795  |   0.9346  |       0.9413  |              4.1208  |
------------------------------------------------------------------------------------------------------
|      12  |      0  |      1.4521  |     0.7012  |   0.6921  |               |              0.5049  |
|          |      1  |      1.2490  |     0.8008  |   0.7761  |               |              0.9141  |
|          |      2  |      1.2061  |     0.8281  |   0.8000  |               |              1.3261  |
|          |      3  |      1.1729  |     0.8535  |   0.8401  |               |              1.7037  |
|          |      4  |      1.1123  |     0.8838  |   0.8474  |               |              2.0834  |
|          |      5  |      1.0947  |     0.8926  |   0.8683  |               |              2.4616  |
|          |      6  |      1.0566  |     0.9111  |   0.8925  |               |              2.8405  |
|          |      7  |      1.0156  |     0.9385  |   0.9074  |               |              3.2196  |
|          |      8  |      0.9761  |     0.9570  |   0.9237  |               |              3.5973  |
|          |      9  |      0.9375  |     0.9785  |   0.9335  |               |              3.9463  |
|          |   eval  |      0.9375  |     0.9785  |   0.9335  |       0.9411  |              4.1155  |
------------------------------------------------------------------------------------------------------
|      13  |      0  |      1.4102  |     0.7285  |   0.6490  |               |              0.4155  |
|          |      1  |      1.2598  |     0.7881  |   0.7817  |               |              0.8268  |
|          |      2  |      1.2236  |     0.8281  |   0.7455  |               |              1.2413  |
|          |      3  |      1.1572  |     0.8613  |   0.8194  |               |              1.6189  |
|          |      4  |      1.1445  |     0.8779  |   0.8595  |               |              2.0007  |
|          |      5  |      1.1006  |     0.8818  |   0.8516  |               |              2.3791  |
|          |      6  |      1.0615  |     0.9082  |   0.9007  |               |              2.7575  |
|          |      7  |      1.0254  |     0.9287  |   0.9035  |               |              3.1366  |
|          |      8  |      0.9722  |     0.9648  |   0.9246  |               |              3.5152  |
|          |      9  |      0.9502  |     0.9707  |   0.9348  |               |              3.8645  |
|          |   eval  |      0.9502  |     0.9707  |   0.9348  |       0.9425  |              4.0338  |
------------------------------------------------------------------------------------------------------
|      14  |      0  |      1.4238  |     0.7080  |   0.6369  |               |              0.4995  |
|          |      1  |      1.2666  |     0.7949  |   0.7487  |               |              0.9100  |
|          |      2  |      1.2119  |     0.8340  |   0.7661  |               |              1.3246  |
|          |      3  |      1.1387  |     0.8789  |   0.8236  |               |              1.7042  |
|          |      4  |      1.1455  |     0.8682  |   0.8629  |               |              2.0837  |
|          |      5  |      1.0928  |     0.8916  |   0.8539  |               |              2.4622  |
|          |      6  |      1.0420  |     0.9238  |   0.8888  |               |              2.8426  |
|          |      7  |      1.0176  |     0.9404  |   0.8996  |               |              3.2221  |
|          |      8  |      0.9644  |     0.9639  |   0.9194  |               |              3.6001  |
|          |      9  |      0.9526  |     0.9678  |   0.9320  |               |              3.9489  |
|          |   eval  |      0.9526  |     0.9678  |   0.9320  |       0.9400  |              4.1181  |
------------------------------------------------------------------------------------------------------
|      15  |      0  |      1.4404  |     0.6904  |   0.6649  |               |              0.5039  |
|          |      1  |      1.2568  |     0.8018  |   0.7074  |               |              0.9150  |
|          |      2  |      1.1914  |     0.8418  |   0.7948  |               |              1.3291  |
|          |      3  |      1.1416  |     0.8711  |   0.8022  |               |              1.7070  |
|          |      4  |      1.1582  |     0.8477  |   0.8341  |               |              2.0889  |
|          |      5  |      1.1084  |     0.8838  |   0.8374  |               |              2.4667  |
|          |      6  |      1.0312  |     0.9248  |   0.8853  |               |              2.8458  |
|          |      7  |      1.0342  |     0.9258  |   0.8945  |               |              3.2252  |
|          |      8  |      0.9707  |     0.9658  |   0.9253  |               |              3.6049  |
|          |      9  |      0.9443  |     0.9834  |   0.9334  |               |              3.9550  |
|          |   eval  |      0.9443  |     0.9834  |   0.9334  |       0.9402  |              4.1245  |
------------------------------------------------------------------------------------------------------
|      16  |      0  |      1.4619  |     0.6855  |   0.6117  |               |              0.5066  |
|          |      1  |      1.2686  |     0.8047  |   0.6806  |               |              0.9185  |
|          |      2  |      1.1543  |     0.8711  |   0.7791  |               |              1.3319  |
|          |      3  |      1.1484  |     0.8672  |   0.8207  |               |              1.7117  |
