------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|       7  |      0  |      1.5869  |     0.6182  |   0.5915  |               |              0.3567  |
|          |      1  |      1.4053  |     0.7285  |   0.6095  |               |              0.6191  |
|          |      2  |      1.4268  |     0.6875  |   0.6654  |               |              0.8820  |
|          |      3  |      1.2725  |     0.7979  |   0.7296  |               |              1.1217  |
|          |      4  |      1.1982  |     0.8506  |   0.8198  |               |              1.3575  |
|          |      5  |      1.1621  |     0.8477  |   0.7742  |               |              1.5951  |
|          |      6  |      1.0947  |     0.9062  |   0.8372  |               |              1.8310  |
|          |      7  |      1.0801  |     0.9111  |   0.8844  |               |              2.0685  |
|          |      8  |      1.0234  |     0.9277  |   0.9016  |               |              2.3048  |
|          |      9  |      0.9932  |     0.9561  |   0.9139  |               |              2.5230  |
|          |   eval  |      0.9932  |     0.9561  |   0.9139  |       0.9211  |              2.6264  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.5615  |     0.6309  |   0.4468  |               |              0.3533  |
|          |      1  |      1.4717  |     0.6699  |   0.6060  |               |              0.6148  |
|          |      2  |      1.2891  |     0.7920  |   0.6489  |               |              0.8812  |
|          |      3  |      1.2441  |     0.8018  |   0.7633  |               |              1.1189  |
|          |      4  |      1.1875  |     0.8477  |   0.8075  |               |              1.3547  |
|          |      5  |      1.1572  |     0.8564  |   0.8330  |               |              1.5916  |
|          |      6  |      1.1035  |     0.8916  |   0.8684  |               |              1.8293  |
|          |      7  |      1.0684  |     0.9092  |   0.8812  |               |              2.0657  |
|          |      8  |      1.0137  |     0.9434  |   0.9027  |               |              2.3033  |
|          |      9  |      1.0020  |     0.9541  |   0.9176  |               |              2.5221  |
|          |   eval  |      1.0020  |     0.9541  |   0.9176  |       0.9233  |              2.6274  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.5781  |     0.6211  |   0.5647  |               |              0.3561  |
|          |      1  |      1.4062  |     0.7119  |   0.6011  |               |              0.6177  |
|          |      2  |      1.3506  |     0.7559  |   0.7083  |               |              0.8829  |
|          |      3  |      1.2568  |     0.8096  |   0.7600  |               |              1.1211  |
|          |      4  |      1.2021  |     0.8379  |   0.8217  |               |              1.3576  |
|          |      5  |      1.1631  |     0.8652  |   0.8338  |               |              1.5958  |
|          |      6  |      1.0947  |     0.8945  |   0.8627  |               |              1.8317  |
|          |      7  |      1.0771  |     0.9102  |   0.8838  |               |              2.0683  |
|          |      8  |      1.0283  |     0.9355  |   0.9006  |               |              2.3053  |
|          |      9  |      1.0068  |     0.9492  |   0.9151  |               |              2.5243  |
|          |   eval  |      1.0068  |     0.9492  |   0.9151  |       0.9220  |              2.6286  |
------------------------------------------------------------------------------------------------------
|      10  |      0  |      1.5791  |     0.6133  |   0.5615  |               |              0.2684  |
|          |      1  |      1.4678  |     0.6836  |   0.6563  |               |              0.5307  |
|          |      2  |      1.2754  |     0.7852  |   0.7487  |               |              0.7919  |
|          |      3  |      1.2471  |     0.8164  |   0.7896  |               |              1.0303  |
|          |      4  |      1.1875  |     0.8340  |   0.7752  |               |              1.2671  |
|          |      5  |      1.1416  |     0.8770  |   0.8325  |               |              1.5040  |
|          |      6  |      1.1250  |     0.8740  |   0.8432  |               |              1.7415  |
|          |      7  |      1.0781  |     0.8975  |   0.8851  |               |              1.9782  |
|          |      8  |      1.0371  |     0.9180  |   0.8993  |               |              2.2153  |
|          |      9  |      0.9951  |     0.9551  |   0.9149  |               |              2.4342  |
|          |   eval  |      0.9951  |     0.9551  |   0.9149  |       0.9226  |              2.5375  |
------------------------------------------------------------------------------------------------------
|      11  |      0  |      1.5801  |     0.6104  |   0.5147  |               |              0.3531  |
|          |      1  |      1.4795  |     0.6758  |   0.6354  |               |              0.6151  |
|          |      2  |      1.2520  |     0.8174  |   0.7003  |               |              0.8804  |
|          |      3  |      1.2139  |     0.8418  |   0.7981  |               |              1.1203  |
|          |      4  |      1.2129  |     0.8252  |   0.8175  |               |              1.3576  |
|          |      5  |      1.1582  |     0.8525  |   0.8434  |               |              1.5933  |
|          |      6  |      1.1123  |     0.8945  |   0.8417  |               |              1.8316  |
|          |      7  |      1.0762  |     0.8994  |   0.8786  |               |              2.0702  |
|          |      8  |      1.0381  |     0.9268  |   0.9038  |               |              2.3071  |
|          |      9  |      0.9907  |     0.9541  |   0.9161  |               |              2.5262  |
|          |   eval  |      0.9907  |     0.9541  |   0.9161  |       0.9231  |              2.6311  |
------------------------------------------------------------------------------------------------------
|      12  |      0  |      1.5889  |     0.5898  |   0.6211  |               |              0.3585  |
|          |      1  |      1.4170  |     0.7119  |   0.6707  |               |              0.6223  |
|          |      2  |      1.2998  |     0.7812  |   0.7407  |               |              0.8855  |
|          |      3  |      1.2871  |     0.7861  |   0.7030  |               |              1.1240  |
|          |      4  |      1.1855  |     0.8516  |   0.7986  |               |              1.3622  |
|          |      5  |      1.1768  |     0.8447  |   0.8189  |               |              1.5994  |
|          |      6  |      1.1094  |     0.8848  |   0.8730  |               |              1.8363  |
|          |      7  |      1.0918  |     0.8936  |   0.8787  |               |              2.0760  |
|          |      8  |      1.0107  |     0.9482  |   0.9048  |               |              2.3133  |
|          |      9  |      0.9844  |     0.9619  |   0.9176  |               |              2.5335  |
|          |   eval  |      0.9844  |     0.9619  |   0.9176  |       0.9234  |              2.6377  |
------------------------------------------------------------------------------------------------------
|      13  |      0  |      1.5938  |     0.5947  |   0.5668  |               |              0.3558  |
|          |      1  |      1.4434  |     0.6895  |   0.6361  |               |              0.6181  |
|          |      2  |      1.2773  |     0.7969  |   0.7009  |               |              0.8817  |
|          |      3  |      1.2363  |     0.8135  |   0.7927  |               |              1.1216  |
|          |      4  |      1.1875  |     0.8418  |   0.7810  |               |              1.3592  |
|          |      5  |      1.1611  |     0.8564  |   0.8003  |               |              1.5967  |
|          |      6  |      1.0996  |     0.8955  |   0.8607  |               |              1.8351  |
|          |      7  |      1.0713  |     0.9082  |   0.8824  |               |              2.0736  |
|          |      8  |      1.0332  |     0.9238  |   0.9054  |               |              2.3098  |
|          |      9  |      0.9878  |     0.9561  |   0.9140  |               |              2.5285  |
|          |   eval  |      0.9878  |     0.9561  |   0.9140  |       0.9232  |              2.6326  |
------------------------------------------------------------------------------------------------------
|      14  |      0  |      1.5830  |     0.5986  |   0.5709  |               |              0.3639  |
|          |      1  |      1.4238  |     0.7012  |   0.6393  |               |              0.6270  |
|          |      2  |      1.2842  |     0.7988  |   0.6273  |               |              0.8894  |
|          |      3  |      1.2480  |     0.8135  |   0.8072  |               |              1.1296  |
|          |      4  |      1.1738  |     0.8438  |   0.7665  |               |              1.3684  |
|          |      5  |      1.1631  |     0.8545  |   0.8269  |               |              1.6058  |
|          |      6  |      1.1230  |     0.8730  |   0.8538  |               |              1.8442  |
|          |      7  |      1.0898  |     0.8936  |   0.8780  |               |              2.0832  |
|          |      8  |      1.0303  |     0.9326  |   0.8968  |               |              2.3200  |
|          |      9  |      0.9927  |     0.9521  |   0.9144  |               |              2.5378  |
|          |   eval  |      0.9927  |     0.9521  |   0.9144  |       0.9231  |              2.6438  |
------------------------------------------------------------------------------------------------------
|      15  |      0  |      1.5732  |     0.6055  |   0.5759  |               |              0.3600  |
|          |      1  |      1.4346  |     0.7070  |   0.6050  |               |              0.6248  |
|          |      2  |      1.4072  |     0.7188  |   0.6223  |               |              0.8905  |
|          |      3  |      1.2393  |     0.8164  |   0.6649  |               |              1.1299  |
|          |      4  |      1.2227  |     0.8154  |   0.7971  |               |              1.3673  |
|          |      5  |      1.1348  |     0.8711  |   0.8485  |               |              1.6053  |
|          |      6  |      1.0928  |     0.8994  |   0.8471  |               |              1.8430  |
|          |      7  |      1.0645  |     0.9180  |   0.8722  |               |              2.0798  |
|          |      8  |      1.0430  |     0.9238  |   0.9043  |               |              2.3179  |
|          |      9  |      0.9951  |     0.9482  |   0.9152  |               |              2.5370  |
|          |   eval  |      0.9951  |     0.9482  |   0.9152  |       0.9220  |              2.6414  |
------------------------------------------------------------------------------------------------------
|      16  |      0  |      1.6260  |     0.5869  |   0.5982  |               |              0.4458  |
|          |      1  |      1.4111  |     0.7070  |   0.6818  |               |              0.7108  |
|          |      2  |      1.3076  |     0.7861  |   0.7217  |               |              0.9742  |
|          |      3  |      1.2480  |     0.8174  |   0.8150  |               |              1.2148  |
|          |      4  |      1.2109  |     0.8135  |   0.8234  |               |              1.4525  |
|          |      5  |      1.1572  |     0.8672  |   0.8389  |               |              1.6898  |
|          |      6  |      1.0986  |     0.8955  |   0.8667  |               |              1.9272  |
|          |      7  |      1.0693  |     0.9150  |   0.8841  |               |              2.1682  |
|          |      8  |      1.0107  |     0.9424  |   0.8995  |               |              2.4112  |
|          |      9  |      1.0146  |     0.9375  |   0.9119  |               |              2.6297  |
|          |   eval  |      1.0146  |     0.9375  |   0.9119  |       0.9222  |              2.7342  |
------------------------------------------------------------------------------------------------------
|      17  |      0  |      1.5615  |     0.6260  |   0.5993  |               |              0.3599  |
|          |      1  |      1.3496  |     0.7607  |   0.6643  |               |              0.6224  |
|          |      2  |      1.2725  |     0.8027  |   0.7629  |               |              0.8928  |
|          |      3  |      1.2109  |     0.8359  |   0.7934  |               |              1.1373  |
|          |      4  |      1.1904  |     0.8545  |   0.8374  |               |              1.3761  |
|          |      5  |      1.1816  |     0.8496  |   0.8149  |               |              1.6137  |
|          |      6  |      1.0859  |     0.9072  |   0.8765  |               |              1.8524  |
|          |      7  |      1.0928  |     0.8994  |   0.8541  |               |              2.0928  |
|          |      8  |      1.0205  |     0.9443  |   0.9051  |               |              2.3308  |
|          |      9  |      0.9927  |     0.9531  |   0.9136  |               |              2.5501  |
|          |   eval  |      0.9927  |     0.9531  |   0.9136  |       0.9228  |              2.6547  |
------------------------------------------------------------------------------------------------------
|      18  |      0  |      1.5986  |     0.5908  |   0.5847  |               |              0.3549  |
|          |      1  |      1.4033  |     0.7109  |   0.6766  |               |              0.6204  |
|          |      2  |      1.3174  |     0.7793  |   0.7157  |               |              0.8836  |
|          |      3  |      1.2188  |     0.8271  |   0.7991  |               |              1.1259  |
|          |      4  |      1.2158  |     0.8301  |   0.8139  |               |              1.3649  |
|          |      5  |      1.1904  |     0.8457  |   0.8309  |               |              1.6024  |
|          |      6  |      1.1025  |     0.8955  |   0.8578  |               |              1.8394  |
|          |      7  |      1.0791  |     0.9043  |   0.8772  |               |              2.0793  |
|          |      8  |      1.0371  |     0.9238  |   0.9034  |               |              2.3180  |
|          |      9  |      0.9902  |     0.9531  |   0.9154  |               |              2.5380  |
|          |   eval  |      0.9902  |     0.9531  |   0.9154  |       0.9219  |              2.6427  |
------------------------------------------------------------------------------------------------------
|      19  |      0  |      1.5703  |     0.6211  |   0.5547  |               |              0.3600  |
|          |      1  |      1.3887  |     0.7363  |   0.6728  |               |              0.6251  |
|          |      2  |      1.2881  |     0.7910  |   0.6603  |               |              0.8918  |
|          |      3  |      1.2363  |     0.8203  |   0.7523  |               |              1.1343  |
|          |      4  |      1.1865  |     0.8379  |   0.8167  |               |              1.3720  |
|          |      5  |      1.1289  |     0.8770  |   0.8353  |               |              1.6116  |
|          |      6  |      1.1172  |     0.8848  |   0.8406  |               |              1.8501  |
|          |      7  |      1.0771  |     0.9072  |   0.8768  |               |              2.0880  |
|          |      8  |      1.0293  |     0.9277  |   0.9001  |               |              2.3266  |
|          |      9  |      0.9937  |     0.9541  |   0.9154  |               |              2.5457  |
|          |   eval  |      0.9937  |     0.9541  |   0.9154  |       0.9220  |              2.6520  |
------------------------------------------------------------------------------------------------------
|      20  |      0  |      1.6143  |     0.5811  |   0.5557  |               |              0.3548  |
|          |      1  |      1.4297  |     0.7002  |   0.5274  |               |              0.6175  |
|          |      2  |      1.2695  |     0.7900  |   0.6351  |               |              0.8802  |
|          |      3  |      1.2334  |     0.8193  |   0.7856  |               |              1.1216  |
|          |      4  |      1.1787  |     0.8467  |   0.8125  |               |              1.3605  |
|          |      5  |      1.1514  |     0.8740  |   0.8017  |               |              1.5991  |
|          |      6  |      1.1143  |     0.8828  |   0.8504  |               |              1.8366  |
|          |      7  |      1.0889  |     0.8955  |   0.8777  |               |              2.0762  |
|          |      8  |      1.0254  |     0.9404  |   0.9033  |               |              2.3152  |
|          |      9  |      0.9927  |     0.9531  |   0.9152  |               |              2.5344  |
|          |   eval  |      0.9927  |     0.9531  |   0.9152  |       0.9241  |              2.6388  |
------------------------------------------------------------------------------------------------------
|      21  |      0  |      1.6270  |     0.5732  |   0.5751  |               |              0.3599  |
|          |      1  |      1.3906  |     0.7285  |   0.6706  |               |              0.6232  |
|          |      2  |      1.2949  |     0.7783  |   0.7388  |               |              0.8876  |
|          |      3  |      1.2578  |     0.8018  |   0.7298  |               |              1.1286  |
|          |      4  |      1.2061  |     0.8291  |   0.7990  |               |              1.3668  |
|          |      5  |      1.1396  |     0.8701  |   0.8189  |               |              1.6104  |
|          |      6  |      1.1006  |     0.8994  |   0.8610  |               |              1.8489  |
|          |      7  |      1.0752  |     0.9199  |   0.8654  |               |              2.0866  |
|          |      8  |      1.0215  |     0.9385  |   0.9029  |               |              2.3268  |
|          |      9  |      0.9976  |     0.9434  |   0.9151  |               |              2.5470  |
|          |   eval  |      0.9976  |     0.9434  |   0.9151  |       0.9237  |              2.6515  |
------------------------------------------------------------------------------------------------------
|      22  |      0  |      1.6436  |     0.5791  |   0.5502  |               |              0.3558  |
|          |      1  |      1.4414  |     0.7002  |   0.7071  |               |              0.6203  |
|          |      2  |      1.2539  |     0.8066  |   0.7660  |               |              0.8843  |
|          |      3  |      1.2363  |     0.8203  |   0.7629  |               |              1.1262  |
|          |      4  |      1.2041  |     0.8408  |   0.7750  |               |              1.3647  |
|          |      5  |      1.1582  |     0.8516  |   0.8126  |               |              1.6032  |
|          |      6  |      1.0898  |     0.9014  |   0.8609  |               |              1.8427  |
|          |      7  |      1.0859  |     0.9043  |   0.8785  |               |              2.0810  |
|          |      8  |      1.0205  |     0.9365  |   0.8960  |               |              2.3193  |
|          |      9  |      0.9839  |     0.9590  |   0.9137  |               |              2.5392  |
|          |   eval  |      0.9839  |     0.9590  |   0.9137  |       0.9226  |              2.6442  |
------------------------------------------------------------------------------------------------------
|      23  |      0  |      1.6055  |     0.5938  |   0.5796  |               |              0.3574  |
|          |      1  |      1.4307  |     0.6963  |   0.6460  |               |              0.6213  |
|          |      2  |      1.2734  |     0.8057  |   0.7491  |               |              0.8860  |
|          |      3  |      1.2256  |     0.8291  |   0.7854  |               |              1.1323  |
|          |      4  |      1.1807  |     0.8574  |   0.8160  |               |              1.3717  |
|          |      5  |      1.1826  |     0.8447  |   0.7817  |               |              1.6112  |
|          |      6  |      1.1006  |     0.8965  |   0.8559  |               |              1.8494  |
|          |      7  |      1.0869  |     0.9033  |   0.8816  |               |              2.0878  |
|          |      8  |      1.0215  |     0.9385  |   0.9059  |               |              2.3265  |
|          |      9  |      0.9956  |     0.9492  |   0.9163  |               |              2.5476  |
|          |   eval  |      0.9956  |     0.9492  |   0.9163  |       0.9223  |              2.6521  |
------------------------------------------------------------------------------------------------------
|      24  |      0  |      1.5195  |     0.6592  |   0.6299  |               |              0.3613  |
|          |      1  |      1.4766  |     0.6816  |   0.6363  |               |              0.6254  |
|          |      2  |      1.2988  |     0.7852  |   0.7554  |               |              0.8910  |
|          |      3  |      1.2578  |     0.8076  |   0.7107  |               |              1.1306  |
|          |      4  |      1.1807  |     0.8418  |   0.8393  |               |              1.3688  |
|          |      5  |      1.1641  |     0.8516  |   0.8284  |               |              1.6071  |
|          |      6  |      1.1123  |     0.8770  |   0.8685  |               |              1.8475  |
|          |      7  |      1.0781  |     0.8936  |   0.8666  |               |              2.0877  |
|          |      8  |      1.0303  |     0.9336  |   0.9057  |               |              2.3266  |
|          |      9  |      0.9951  |     0.9531  |   0.9140  |               |              2.5458  |
|          |   eval  |      0.9951  |     0.9531  |   0.9140  |       0.9227  |              2.6504  |
------------------------------------------------------------------------------------------------------
Mean: 0.9229    Std: 0.0010
/workspace/ESE-3060-Project/logs/4128bd69-ba5b-4df1-8649-223a0ede0ccb/log.pt
